;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.5;0.6666666666666666;0.0;0.0;0.5333333333333333;Noun;2;-1
Bien;0.3333333333333333;0.5;0.0;0.0;0.3333333333333333;Noun;3;-2
Bureau;0.3333333333333333;0.5242718446601942;0.0;0.0;0.3606456001484138;Noun;3;-2
Faculté;0.3333333333333333;0.4625;0.0;0.0;0.2925213675213676;Noun;3;-2
Filer;0.3333333333333333;0.4895833333333333;0.0;0.0;0.3218240093240093;Verb;3;-2
Glace;0.2;0.4796747967479675;0.0;0.0;0.3109979451442866;Noun;5;-4
Souris;0.3333333333333333;0.45588235294117646;0.0;0.0;0.2855020796197267;Noun;3;-2
Supporter;0.3333333333333333;0.509090909090909;0.0;0.0;0.34348302300109523;Verb;3;-2
Tirer;0.49324324324324326;0.7019230769230769;0.010049695484129088;-0.011344494482450411;0.5869187309865277;Verb;2;0
Tour;0.22857142857142856;0.35135135135135137;0.051052707846189455;0.009820121455673259;0.2083842356288177;Noun;5;-3
Vol;0.5;0.7058823529411765;0.0;0.0;0.5841784989858013;Noun;2;-1
Average_nouns;0.34523809523809523;0.5182786706635666;0.006381588480773682;0.0012275151819591574;0.36361204921438506;;;
Average_verbs;0.38663663663663667;0.566865773115773;0.003349898494709696;-0.0037814981608168038;0.41740858777054407;;;
Global_average;0.3565286065286066;0.5315296986050775;0.005554763939119868;-0.00013857936607065022;0.37828383245697395;;;
